"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年1月25日","55.88","55.26","56.02","55.07","198.27K","0.85%"
"2021年1月22日","55.41","56.00","56.03","54.48","269.37K","-1.23%"
"2021年1月21日","56.10","55.82","56.24","55.49","254.59K","0.04%"
"2021年1月20日","56.08","56.07","56.64","55.66","310.89K","0.32%"
"2021年1月19日","55.90","55.01","56.08","54.89","261.10K","2.10%"
"2021年1月18日","54.75","54.75","55.21","54.49","142.87K","-0.64%"
"2021年1月15日","55.10","56.41","56.50","54.64","298.41K","-2.34%"
"2021年1月14日","56.42","55.93","56.57","55.24","331.29K","0.64%"
"2021年1月13日","56.06","56.83","57.42","55.77","324.30K","-0.92%"
"2021年1月12日","56.58","55.66","56.79","55.51","288.14K","1.65%"
"2021年1月11日","55.66","56.24","56.39","54.99","295.07K","-0.59%"
"2021年1月8日","55.99","54.56","56.36","54.34","336.65K","2.96%"
"2021年1月7日","54.38","54.13","54.90","53.94","267.19K","0.15%"
"2021年1月6日","54.30","53.52","54.73","53.02","414.41K","1.31%"
"2021年1月5日","53.60","50.95","53.90","50.70","455.35K","4.91%"
"2021年1月4日","51.09","51.50","53.33","50.56","382.90K","-1.37%"
"2020年12月31日","51.80","51.49","51.84","50.90","133.22K","0.90%"
"2020年12月30日","51.34","51.32","51.56","51.04","17.63K","0.49%"
"2020年12月29日","51.09","51.02","51.63","50.86","91.33K","0.45%"
"2020年12月28日","50.86","51.25","52.02","50.53","81.06K","-0.84%"
"2020年12月24日","51.29","51.11","51.77","50.62","96.69K","0.18%"
"2020年12月23日","51.20","49.70","51.59","49.20","182.63K","2.24%"
"2020年12月22日","50.08","50.65","50.86","49.56","194.10K","-1.63%"
"2020年12月21日","50.91","52.22","52.32","49.20","288.74K","-2.58%"
"2020年12月18日","52.26","51.43","52.48","51.13","246.12K","1.48%"
"2020年12月17日","51.50","51.12","51.90","51.08","233.88K","0.82%"
"2020年12月16日","51.08","50.64","51.20","50.34","222.74K","0.63%"
"2020年12月15日","50.76","50.30","50.89","49.78","190.55K","0.93%"
"2020年12月14日","50.29","50.05","50.80","49.13","236.96K","0.64%"
"2020年12月11日","49.97","50.45","50.74","49.74","231.87K","-0.56%"
"2020年12月10日","50.25","49.00","51.06","48.86","288.73K","2.84%"
"2020年12月9日","48.86","48.84","49.55","48.40","267.79K","0.04%"
"2020年12月8日","48.84","48.58","49.00","48.09","225.24K","0.10%"
"2020年12月7日","48.79","49.23","49.43","48.40","207.51K","-0.93%"
"2020年12月4日","49.25","48.96","49.92","48.84","253.64K","1.11%"
"2020年12月3日","48.71","48.00","48.94","47.67","274.73K","0.95%"
"2020年12月2日","48.25","47.05","48.76","46.82","285.74K","1.75%"
"2020年12月1日","47.42","47.79","48.30","46.88","258.69K","-0.36%"
"2020年11月30日","47.59","47.91","47.99","46.85","20.68K","-1.22%"
"2020年11月27日","48.18","47.81","48.44","47.34","87.75K","0.79%"
"2020年11月26日","47.80","48.76","49.09","47.53","88.76K","-1.67%"
"2020年11月25日","48.61","47.80","49.06","47.72","231.03K","1.57%"
"2020年11月24日","47.86","45.90","48.03","45.89","263.24K","3.91%"
"2020年11月23日","46.06","45.08","46.12","44.89","267.25K","2.45%"
"2020年11月20日","44.96","44.15","45.24","44.05","264.01K","1.72%"
"2020年11月19日","44.20","43.96","44.57","43.79","210.30K","-0.32%"
"2020年11月18日","44.34","43.75","44.89","43.48","242.88K","1.35%"
"2020年11月17日","43.75","43.89","44.25","43.08","226.35K","-0.16%"
"2020年11月16日","43.82","42.71","44.67","42.71","268.43K","2.43%"
"2020年11月13日","42.78","43.20","43.34","42.63","216.74K","-1.72%"
"2020年11月12日","43.53","43.73","44.50","43.26","266.04K","-0.62%"
"2020年11月11日","43.80","43.77","45.30","43.60","346.77K","0.44%"
"2020年11月10日","43.61","41.75","44.11","41.71","315.25K","2.85%"
"2020年11月9日","42.40","39.65","43.48","39.46","393.05K","7.48%"
"2020年11月6日","39.45","40.63","40.69","39.34","255.44K","-3.62%"
"2020年11月5日","40.93","40.96","41.53","40.33","219.20K","-0.73%"
"2020年11月4日","41.23","40.13","41.33","39.42","250.87K","3.83%"
"2020年11月3日","39.71","39.26","40.45","38.65","278.63K","1.90%"
"2020年11月2日","38.97","37.37","39.36","35.74","326.07K","4.03%"
"2020年10月30日","37.46","37.50","38.10","36.80","20.19K","-0.50%"
"2020年10月29日","37.65","39.16","39.45","36.64","112.49K","-3.76%"
"2020年10月28日","39.12","40.61","40.70","38.75","163.83K","-5.05%"
"2020年10月27日","41.20","40.50","41.47","40.40","207.54K","1.83%"
"2020年10月26日","40.46","41.53","41.63","40.22","210.53K","-3.14%"
"2020年10月23日","41.77","42.40","42.80","41.50","205.21K","-1.63%"
"2020年10月22日","42.46","41.59","42.79","41.46","257.20K","1.75%"
"2020年10月21日","41.73","42.91","43.04","41.45","268.88K","-3.31%"
"2020年10月20日","43.16","42.45","43.30","42.19","252.05K","1.27%"
"2020年10月19日","42.62","42.69","43.23","42.36","209.06K","-0.72%"
"2020年10月16日","42.93","43.10","43.21","42.27","197.16K","-0.53%"
"2020年10月15日","43.16","43.45","43.48","41.56","295.28K","-0.37%"
"2020年10月14日","43.32","42.43","43.45","42.13","279.12K","2.05%"
"2020年10月13日","42.45","41.81","42.68","41.66","227.85K","1.75%"
"2020年10月12日","41.72","42.60","42.71","41.36","238.87K","-2.64%"
"2020年10月9日","42.85","43.36","43.57","42.61","254.62K","-1.13%"
"2020年10月8日","43.34","42.15","43.47","41.86","266.26K","3.22%"
"2020年10月7日","41.99","41.85","42.42","41.36","241.20K","-1.55%"
"2020年10月6日","42.65","41.41","42.84","41.22","291.68K","3.29%"
"2020年10月5日","41.29","39.19","41.78","39.14","273.76K","5.14%"
"2020年10月2日","39.27","40.65","40.77","38.79","337.41K","-4.06%"
"2020年10月1日","40.93","42.17","42.56","39.92","338.72K","-0.05%"
"2020年9月30日","40.95","40.66","40.98","40.30","19.38K","-0.19%"
"2020年9月29日","41.03","42.47","42.52","40.43","91.60K","-3.30%"
"2020年9月28日","42.43","41.87","42.62","41.48","91.82K","1.22%"
"2020年9月25日","41.92","41.85","42.33","41.52","129.40K","-0.05%"
"2020年9月24日","41.94","41.36","42.02","41.27","162.93K","0.41%"
"2020年9月23日","41.77","41.67","42.62","41.21","183.88K","0.12%"
"2020年9月22日","41.72","41.79","42.20","41.21","210.74K","0.68%"
"2020年9月21日","41.44","43.01","43.30","40.96","217.36K","-3.96%"
"2020年9月18日","43.15","43.22","43.80","42.53","204.66K","-0.35%"
"2020年9月17日","43.30","42.32","43.50","41.50","237.40K","2.56%"
"2020年9月16日","42.22","40.72","42.44","40.59","237.25K","4.17%"
"2020年9月15日","40.53","39.70","40.82","39.39","214.80K","2.32%"
"2020年9月14日","39.61","39.78","40.09","39.30","200.09K","-0.55%"
"2020年9月11日","39.83","39.96","40.34","39.38","211.88K","-0.57%"
"2020年9月10日","40.06","40.58","40.96","39.71","208.86K","-1.79%"
"2020年9月9日","40.79","39.65","41.20","39.37","278.22K","2.54%"
"2020年9月8日","39.78","42.08","42.23","39.31","363.53K","-5.31%"
"2020年9月7日","42.01","42.20","42.43","41.51","122.98K","-1.52%"
"2020年9月4日","42.66","43.76","44.54","42.30","270.96K","-3.20%"
"2020年9月3日","44.07","44.65","44.65","43.15","274.93K","-0.81%"
"2020年9月2日","44.43","45.83","46.05","44.20","260.14K","-2.52%"
"2020年9月1日","45.58","45.60","46.22","45.47","206.72K","0.66%"
"2020年8月31日","45.28","45.80","46.53","45.21","174.31K","0.51%"
"2020年8月28日","45.05","45.10","45.30","44.80","21.14K","-0.09%"
"2020年8月27日","45.09","45.70","45.87","44.56","102.26K","-1.21%"
"2020年8月26日","45.64","45.97","46.10","45.54","132.51K","-0.48%"
"2020年8月25日","45.86","45.12","46.07","45.08","178.31K","1.62%"
"2020年8月24日","45.13","44.50","45.18","44.29","176.64K","1.76%"
"2020年8月21日","44.35","45.03","45.08","43.59","221.99K","-1.22%"
"2020年8月20日","44.90","45.14","45.18","44.02","249.74K","-1.04%"
"2020年8月19日","45.37","45.17","45.48","44.81","174.88K","-0.20%"
"2020年8月18日","45.46","45.27","45.55","44.76","181.69K","0.20%"
"2020年8月17日","45.37","44.86","45.41","44.53","164.23K","1.27%"
"2020年8月14日","44.80","45.29","45.29","44.47","151.46K","-0.36%"
"2020年8月13日","44.96","45.32","45.58","44.82","148.41K","-1.03%"
"2020年8月12日","45.43","44.62","45.63","44.49","166.48K","2.09%"
"2020年8月11日","44.50","45.05","45.79","44.39","202.74K","-1.09%"
"2020年8月10日","44.99","44.66","45.26","44.37","135.30K","1.33%"
"2020年8月7日","44.40","45.15","45.30","44.27","171.72K","-1.53%"
"2020年8月6日","45.09","45.32","45.71","44.85","184.52K","-0.18%"
"2020年8月5日","45.17","44.28","46.23","44.24","246.98K","1.67%"
"2020年8月4日","44.43","43.84","44.82","43.24","227.12K","0.63%"
"2020年8月3日","44.15","43.53","44.46","42.89","198.70K","1.96%"
"2020年7月31日","43.30","43.29","43.44","43.05","14.42K","0.84%"
"2020年7月30日","42.94","43.73","43.80","41.38","63.20K","-1.85%"
"2020年7月29日","43.75","43.31","43.95","43.20","64.92K","1.23%"
"2020年7月28日","43.22","43.55","43.84","43.00","107.34K","-0.44%"
"2020年7月27日","43.41","43.35","43.77","42.39","174.75K","0.16%"
"2020年7月24日","43.34","43.27","43.90","42.79","191.05K","0.07%"
"2020年7月23日","43.31","44.10","44.77","43.13","262.24K","-2.21%"
"2020年7月22日","44.29","44.03","44.40","43.62","202.16K","-0.07%"
"2020年7月21日","44.32","43.17","44.89","43.16","229.78K","2.40%"
"2020年7月20日","43.28","43.08","43.45","42.36","179.43K","0.32%"
"2020年7月17日","43.14","43.40","43.45","42.64","162.40K","-0.53%"
"2020年7月16日","43.37","43.71","43.80","43.14","172.16K","-0.96%"
"2020年7月15日","43.79","43.07","43.85","42.70","232.18K","2.07%"
"2020年7月14日","42.90","42.24","43.22","41.80","221.12K","0.42%"
"2020年7月13日","42.72","43.12","43.34","42.14","200.31K","-1.20%"
"2020年7月10日","43.24","42.36","43.42","41.32","214.05K","2.10%"
"2020年7月9日","42.35","43.30","43.50","41.94","237.75K","-2.17%"
"2020年7月8日","43.29","42.81","43.47","42.75","185.14K","0.49%"
"2020年7月7日","43.08","43.13","43.45","42.46","183.23K","-0.05%"
"2020年7月6日","43.10","42.79","43.71","42.74","185.02K","0.70%"
"2020年7月3日","42.80","42.76","42.99","42.32","96.78K","-0.79%"
"2020年7月2日","43.14","41.84","43.23","41.73","196.69K","2.64%"
"2020年7月1日","42.03","41.58","42.62","41.03","252.52K","2.14%"
"2020年6月30日","41.15","41.33","41.62","40.90","12.60K","-1.34%"
"2020年6月29日","41.71","40.56","41.95","40.04","86.78K","1.68%"
"2020年6月26日","41.02","41.44","41.81","40.29","120.32K","-0.07%"
"2020年6月25日","41.05","40.35","41.64","39.47","166.05K","1.84%"
"2020年6月24日","40.31","42.45","42.89","39.63","195.72K","-5.44%"
"2020年6月23日","42.63","43.21","43.93","42.21","183.03K","-1.04%"
"2020年6月22日","43.08","41.74","43.18","41.58","187.65K","2.11%"
"2020年6月19日","42.19","41.72","42.92","41.03","217.49K","1.64%"
"2020年6月18日","41.51","40.43","41.64","40.06","175.79K","1.97%"
"2020年6月17日","40.71","40.61","41.46","40.03","175.24K","-0.61%"
"2020年6月16日","40.96","39.94","41.65","38.95","248.58K","3.12%"
"2020年6月15日","39.72","38.80","39.90","37.24","215.42K","2.56%"
"2020年6月12日","38.73","37.88","39.45","37.01","237.89K","0.47%"
"2020年6月11日","38.55","40.95","41.01","37.82","290.17K","-7.62%"
"2020年6月10日","41.73","40.72","41.99","40.14","234.19K","1.34%"
"2020年6月9日","41.18","41.10","41.45","39.85","222.36K","0.93%"
"2020年6月8日","40.80","42.40","43.41","40.68","227.88K","-3.55%"
"2020年6月5日","42.30","39.84","42.48","39.72","250.31K","5.78%"
"2020年6月4日","39.99","39.60","40.10","39.04","172.61K","0.50%"
"2020年6月3日","39.79","39.75","40.53","38.76","239.43K","0.56%"
"2020年6月2日","39.57","38.34","39.75","38.26","205.22K","3.26%"
"2020年6月1日","38.32","37.56","38.68","37.18","212.78K","8.46%"
"2020年5月29日","35.33","35.15","35.37","34.06","14.71K","0.11%"
"2020年5月28日","35.29","33.92","35.95","33.62","70.99K","1.58%"
"2020年5月27日","34.74","35.93","36.16","33.98","112.25K","-3.95%"
"2020年5月26日","36.17","35.66","36.68","35.26","129.98K","1.80%"
"2020年5月25日","35.53","34.98","35.97","34.46","28.96K","1.14%"
"2020年5月22日","35.13","36.18","36.23","33.54","174.59K","-2.58%"
"2020年5月21日","36.06","35.82","36.98","35.75","178.55K","0.87%"
"2020年5月20日","35.75","34.45","36.46","34.38","191.27K","3.17%"
"2020年5月19日","34.65","35.66","35.76","34.20","188.93K","-0.46%"
"2020年5月18日","34.81","32.78","35.72","32.69","232.25K","7.11%"
"2020年5月15日","32.50","31.52","32.91","30.94","211.28K","4.40%"
"2020年5月14日","31.13","29.52","31.55","28.88","222.21K","6.65%"
"2020年5月13日","29.19","29.35","30.55","28.86","221.11K","-2.64%"
"2020年5月12日","29.98","30.07","30.70","29.35","202.47K","1.18%"
"2020年5月11日","29.63","30.70","31.47","29.35","242.21K","-4.33%"
"2020年5月8日","30.97","29.60","31.14","29.43","147.30K","5.13%"
"2020年5月7日","29.46","29.64","31.84","29.08","259.89K","-0.87%"
"2020年5月6日","29.72","32.27","32.27","28.66","268.46K","-4.04%"
"2020年5月5日","30.97","28.10","32.06","27.77","267.14K","13.86%"
"2020年5月4日","27.20","26.10","28.08","25.50","215.73K","2.87%"
"2020年5月1日","26.44","26.95","27.88","25.76","216.98K","4.63%"
"2020年4月30日","25.27","22.87","25.76","22.87","9.69K","12.11%"
"2020年4月29日","22.54","20.66","23.88","20.53","86.55K","10.17%"
"2020年4月28日","20.46","19.90","21.29","18.73","123.22K","2.35%"
"2020年4月27日","19.99","21.55","21.91","19.11","162.39K","-6.76%"
"2020年4月24日","21.44","21.93","22.70","20.50","187.00K","0.52%"
"2020年4月23日","21.33","20.89","23.22","20.07","256.30K","4.71%"
"2020年4月22日","20.37","20.23","22.45","15.98","344.76K","5.38%"
"2020年4月21日","19.33","26.33","26.50","17.51","637.21K","-24.40%"
"2020年4月20日","25.57","28.05","28.25","25.37","361.83K","-8.94%"
"2020年4月17日","28.08","28.66","28.93","27.58","286.17K","0.93%"
"2020年4月16日","27.82","28.05","29.00","27.20","272.98K","0.47%"
"2020年4月15日","27.69","30.26","30.33","27.16","284.34K","-6.45%"
"2020年4月14日","29.60","32.25","32.32","29.38","297.55K","-6.74%"
"2020年4月13日","31.74","33.99","33.99","30.63","223.29K","0.83%"
"2020年4月9日","31.48","33.82","36.40","31.18","493.00K","-4.14%"
"2020年4月8日","32.84","32.63","33.87","31.54","320.61K","3.04%"
"2020年4月7日","31.87","33.66","34.18","31.74","303.42K","-3.57%"
"2020年4月6日","33.05","31.76","34.24","30.03","296.07K","-3.11%"
"2020年4月3日","34.11","29.89","35.00","28.25","541.28K","13.93%"
"2020年4月2日","29.94","25.61","36.29","25.45","612.27K","21.02%"
"2020年4月1日","24.74","25.99","26.28","24.52","347.29K","8.80%"
"2020年3月31日","22.74","23.00","23.87","22.59","14.77K","-0.09%"
"2020年3月30日","22.76","23.85","24.44","21.65","62.08K","-8.70%"
"2020年3月27日","24.93","26.68","27.00","24.13","112.74K","-5.35%"
"2020年3月26日","26.34","27.35","27.75","26.03","139.18K","-3.83%"
"2020年3月25日","27.39","27.80","28.29","25.68","154.94K","0.88%"
"2020年3月24日","27.15","27.72","28.65","26.69","198.91K","0.44%"
"2020年3月23日","27.03","26.75","27.54","24.68","257.59K","0.19%"
"2020年3月20日","26.98","28.10","30.94","26.81","313.84K","-5.23%"
"2020年3月19日","28.47","27.19","29.42","24.96","335.72K","14.43%"
"2020年3月18日","24.88","28.40","29.21","24.52","348.40K","-13.40%"
"2020年3月17日","28.73","30.14","31.25","28.50","270.24K","-4.39%"
"2020年3月16日","30.05","35.82","35.84","29.45","330.12K","-11.23%"
"2020年3月13日","33.85","32.85","36.15","32.50","360.63K","1.90%"
"2020年3月12日","33.22","35.99","36.46","32.50","472.74K","-7.18%"
"2020年3月11日","35.79","37.27","39.70","35.35","471.77K","-3.84%"
"2020年3月10日","37.22","35.84","38.22","35.00","551.29K","8.32%"
"2020年3月9日","34.36","38.28","38.34","31.02","779.72K","-24.10%"
"2020年3月6日","45.27","50.25","50.45","45.18","636.39K","-9.44%"
"2020年3月5日","49.99","51.66","52.04","49.70","361.04K","-2.23%"
"2020年3月4日","51.13","52.11","53.03","51.04","363.50K","-1.41%"
"2020年3月3日","51.86","53.47","53.90","51.22","407.55K","-0.08%"
"2020年3月2日","51.90","48.95","53.20","48.40","417.56K","2.73%"
"2020年2月28日","50.52","51.42","51.52","50.05","20.36K","-3.18%"
"2020年2月27日","52.18","53.18","53.25","50.97","112.16K","-2.34%"
"2020年2月26日","53.43","55.13","55.45","53.03","171.50K","-2.77%"
"2020年2月25日","54.95","56.46","56.98","54.62","210.28K","-2.40%"
"2020年2月24日","56.30","57.85","57.86","55.13","236.33K","-3.76%"
"2020年2月21日","58.50","59.00","59.25","57.73","236.49K","-1.37%"
"2020年2月20日","59.31","59.31","60.00","58.90","268.65K","0.32%"
"2020年2月19日","59.12","57.60","59.40","57.51","262.15K","2.37%"
"2020年2月18日","57.75","57.35","57.83","56.30","249.20K","0.14%"
"2020年2月17日","57.67","57.29","57.70","56.83","115.34K","0.61%"
"2020年2月14日","57.32","56.41","57.53","56.15","258.14K","1.74%"
"2020年2月13日","56.34","55.75","56.83","54.96","325.51K","0.99%"
"2020年2月12日","55.79","54.41","56.36","54.39","305.45K","3.30%"
"2020年2月11日","54.01","53.62","54.69","53.60","272.81K","1.39%"
"2020年2月10日","53.27","54.20","54.71","53.11","280.18K","-2.20%"
"2020年2月7日","54.47","55.14","55.40","54.21","270.80K","-0.84%"
"2020年2月6日","54.93","55.56","56.58","54.25","379.87K","-0.63%"
"2020年2月5日","55.28","54.05","56.46","54.05","412.27K","2.45%"
"2020年2月4日","53.96","54.33","55.65","53.69","409.86K","-0.90%"
"2020年2月3日","54.45","56.16","56.77","54.08","477.22K","-6.38%"
"2020年1月31日","58.16","59.30","59.45","57.94","19.60K","-0.22%"
"2020年1月30日","58.29","59.60","59.65","57.71","104.27K","-2.54%"
"2020年1月29日","59.81","59.86","60.62","59.26","142.68K","0.50%"
"2020年1月28日","59.51","59.03","60.12","58.50","248.95K","0.32%"
"2020年1月27日","59.32","60.23","60.49","58.50","259.77K","-2.26%"
"2020年1月24日","60.69","62.01","62.46","60.25","257.95K","-2.18%"
"2020年1月23日","62.04","62.68","62.69","61.25","361.91K","-1.85%"
"2020年1月22日","63.21","64.57","64.58","62.62","273.30K","-2.14%"
"2020年1月21日","64.59","65.26","65.35","64.06","248.56K","-0.94%"
"2020年1月20日","65.20","65.98","66.00","64.92","154.79K","0.54%"
"2020年1月17日","64.85","64.69","65.60","64.48","238.64K","0.36%"
"2020年1月16日","64.62","64.26","64.97","63.90","220.17K","0.97%"
"2020年1月15日","64.00","64.44","64.60","63.55","229.53K","-0.76%"
"2020年1月14日","64.49","64.29","65.05","63.92","270.50K","0.45%"
"2020年1月13日","64.20","65.13","65.27","63.92","262.47K","-1.20%"
"2020年1月10日","64.98","65.29","65.66","64.86","272.17K","-0.60%"
"2020年1月9日","65.37","66.00","66.10","64.56","364.45K","-0.11%"
"2020年1月8日","65.44","71.22","71.75","64.94","560.89K","-4.15%"
"2020年1月7日","68.27","68.63","68.75","67.65","284.92K","-0.93%"
"2020年1月6日","68.91","69.35","70.74","68.21","341.14K","0.45%"
"2020年1月3日","68.60","66.28","69.50","66.22","479.70K","3.55%"
"2020年1月2日","66.25","66.41","66.58","65.72","205.69K","0.38%"
"2019年12月31日","66.00","66.65","66.93","65.63","171.01K","-3.57%"
"2019年12月30日","68.44","68.20","68.99","68.16","29.42K","0.41%"
"2019年12月27日","68.16","67.91","68.33","67.57","112.22K","0.35%"
"2019年12月26日","67.92","67.27","67.99","67.22","69.82K","1.07%"
"2019年12月24日","67.20","66.44","67.26","66.36","106.43K","1.22%"
"2019年12月23日","66.39","66.15","66.62","65.81","131.42K","0.38%"
"2019年12月20日","66.14","66.56","66.72","65.70","217.98K","-0.60%"
"2019年12月19日","66.54","66.19","66.78","66.03","249.54K","0.56%"
"2019年12月18日","66.17","65.84","66.43","65.56","262.34K","0.11%"
"2019年12月17日","66.10","65.31","66.24","65.12","245.83K","1.16%"
"2019年12月16日","65.34","65.05","65.66","64.88","186.09K","0.18%"
"2019年12月13日","65.22","64.56","65.79","64.50","232.75K","1.59%"
"2019年12月12日","64.20","63.90","64.85","63.87","238.31K","0.75%"
"2019年12月11日","63.72","64.00","64.26","63.01","250.14K","-0.96%"
"2019年12月10日","64.34","64.03","64.69","63.78","235.19K","0.14%"
"2019年12月9日","64.25","64.29","64.50","63.61","239.77K","-0.22%"
"2019年12月6日","64.39","63.41","64.88","62.83","314.60K","1.58%"
"2019年12月5日","63.39","62.97","63.91","62.75","294.84K","0.62%"
"2019年12月4日","63.00","61.08","63.51","61.00","319.04K","3.58%"
"2019年12月3日","60.82","61.05","61.58","60.30","248.55K","-0.16%"
"2019年12月2日","60.92","60.73","62.09","60.72","297.87K","-2.42%"
"2019年11月29日","62.43","63.77","63.86","62.36","19.65K","-2.25%"
"2019年11月28日","63.87","63.91","64.00","63.19","96.08K","-0.30%"
"2019年11月27日","64.06","64.02","64.60","63.51","125.47K","-0.33%"
"2019年11月26日","64.27","63.70","64.32","63.44","181.10K","0.97%"
"2019年11月25日","63.65","63.60","63.80","62.97","212.05K","0.41%"
"2019年11月22日","63.39","63.62","64.27","62.98","228.74K","-0.91%"
"2019年11月21日","63.97","62.22","64.03","61.92","318.49K","2.52%"
"2019年11月20日","62.40","60.94","62.80","60.30","343.31K","2.45%"
"2019年11月19日","60.91","62.28","62.57","60.70","296.80K","-2.45%"
"2019年11月18日","62.44","63.36","63.57","61.94","228.25K","-1.36%"
"2019年11月15日","63.30","62.47","63.65","61.70","255.68K","1.64%"
"2019年11月14日","62.28","62.61","63.21","62.15","234.78K","-0.14%"
"2019年11月13日","62.37","61.85","62.74","61.22","273.03K","0.50%"
"2019年11月12日","62.06","62.11","62.85","61.82","238.17K","-0.19%"
"2019年11月11日","62.18","62.60","62.76","61.57","213.34K","-0.53%"
"2019年11月8日","62.51","62.29","62.70","60.66","287.67K","0.35%"
"2019年11月7日","62.29","61.73","62.89","61.65","261.07K","0.89%"
"2019年11月6日","61.74","62.78","63.32","61.59","275.94K","-1.94%"
