"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年5月26日","52.15","51.38","52.30","50.71","265.83K","1.34%"
"2017年5月25日","51.46","54.15","54.67","51.03","464.50K","-4.63%"
"2017年5月24日","53.96","54.14","54.62","53.66","351.64K","-0.35%"
"2017年5月23日","54.15","53.87","54.43","53.20","328.33K","0.52%"
"2017年5月22日","53.87","53.85","54.37","53.66","379.12K","0.48%"
"2017年5月19日","53.61","52.57","53.82","52.55","333.27K","2.09%"
"2017年5月18日","52.51","52.19","52.74","51.11","363.69K","0.57%"
"2017年5月17日","52.21","51.20","52.61","51.04","331.36K","1.08%"
"2017年5月16日","51.65","51.88","52.36","51.10","340.96K","-0.33%"
"2017年5月15日","51.82","50.89","52.63","50.74","331.42K","1.93%"
"2017年5月12日","50.84","50.76","51.09","50.33","304.76K","0.14%"
"2017年5月11日","50.77","50.28","51.16","50.25","315.59K","1.10%"
"2017年5月10日","50.22","48.95","50.63","48.81","368.11K","3.06%"
"2017年5月9日","48.73","49.44","49.72","48.39","332.91K","-1.24%"
"2017年5月8日","49.34","49.27","49.92","48.48","400.72K","0.49%"
"2017年5月5日","49.10","48.45","49.63","46.64","530.44K","1.49%"
"2017年5月4日","48.38","50.59","50.73","48.16","541.58K","-4.75%"
"2017年5月3日","50.79","50.99","51.14","50.20","357.19K","0.65%"
"2017年5月2日","50.46","51.39","52.16","50.14","364.06K","-2.06%"
"2017年5月1日","51.52","51.88","51.97","51.22","121.53K","-0.41%"
"2017年4月28日","51.73","51.58","52.12","51.31","23.20K","0.56%"
"2017年4月27日","51.44","51.57","51.76","50.45","187.13K","-0.73%"
"2017年4月26日","51.82","51.81","52.46","51.38","206.56K","-0.54%"
"2017年4月25日","52.10","51.60","52.39","51.30","272.76K","0.97%"
"2017年4月24日","51.60","52.11","52.57","51.42","267.28K","-0.69%"
"2017年4月21日","51.96","53.00","53.29","51.57","348.48K","-1.94%"
"2017年4月20日","52.99","53.09","53.55","52.68","401.85K","0.11%"
"2017年4月19日","52.93","54.78","55.20","52.58","435.41K","-3.57%"
"2017年4月18日","54.89","55.39","55.48","54.61","373.10K","-0.85%"
"2017年4月17日","55.36","55.55","55.98","55.29","158.97K","-0.95%"
"2017年4月13日","55.89","55.66","56.06","55.56","325.31K","0.05%"
"2017年4月12日","55.86","56.28","56.65","55.50","373.53K","-0.66%"
"2017年4月11日","56.23","56.08","56.30","55.45","340.42K","0.45%"
"2017年4月10日","55.98","55.19","56.05","55.19","298.90K","1.34%"
"2017年4月7日","55.24","54.88","56.08","54.57","317.78K","0.64%"
"2017年4月6日","54.89","54.13","55.00","54.02","239.47K","0.97%"
"2017年4月5日","54.36","54.22","55.09","53.97","353.02K","0.35%"
"2017年4月4日","54.17","53.18","54.38","52.73","302.11K","1.98%"
"2017年4月3日","53.12","53.62","53.74","53.03","241.75K","0.55%"
"2017年3月31日","52.83","52.83","53.45","52.35","27.46K","-0.25%"
"2017年3月30日","52.96","52.39","53.10","52.03","128.55K","1.03%"
"2017年3月29日","52.42","51.43","52.48","51.36","140.44K","2.12%"
"2017年3月28日","51.33","50.77","51.87","50.77","186.41K","1.14%"
"2017年3月27日","50.75","51.03","51.10","50.03","195.52K","-0.10%"
"2017年3月24日","50.80","50.64","51.06","50.40","215.34K","0.47%"
"2017年3月23日","50.56","50.83","51.10","50.25","320.21K","-0.16%"
"2017年3月22日","50.64","50.86","50.98","49.71","327.91K","-0.63%"
"2017年3月21日","50.96","51.70","52.22","50.73","291.71K","-1.28%"
"2017年3月20日","51.62","51.80","51.94","51.01","239.25K","-0.27%"
"2017年3月17日","51.76","51.74","52.18","51.53","220.35K","0.04%"
"2017年3月16日","51.74","52.08","52.65","51.50","281.53K","-0.14%"
"2017年3月15日","51.81","51.50","52.15","51.36","327.90K","1.75%"
"2017年3月14日","50.92","51.34","51.86","50.25","411.63K","-0.84%"
"2017年3月13日","51.35","51.49","51.70","50.85","276.76K","-0.04%"
"2017年3月10日","51.37","52.33","53.02","51.14","351.34K","-1.57%"
"2017年3月9日","52.19","53.49","53.86","51.50","504.12K","-1.73%"
"2017年3月8日","53.11","55.63","55.77","52.93","444.13K","-5.03%"
"2017年3月7日","55.92","55.95","56.65","55.56","269.52K","-0.16%"
"2017年3月6日","56.01","55.80","56.25","55.32","224.20K","0.20%"
"2017年3月3日","55.90","55.18","55.95","55.09","248.71K","1.49%"
"2017年3月2日","55.08","56.31","56.44","55.03","350.12K","-2.27%"
"2017年3月1日","56.36","56.45","57.05","56.24","261.74K","1.39%"
"2017年2月28日","55.59","56.02","56.15","55.23","28.35K","-0.61%"
"2017年2月27日","55.93","55.96","56.77","55.86","139.29K","-0.11%"
"2017年2月24日","55.99","56.40","56.66","55.74","164.96K","-1.04%"
"2017年2月23日","56.58","56.20","57.26","56.18","223.59K","1.33%"
"2017年2月22日","55.84","56.74","57.01","55.64","245.16K","-1.45%"
"2017年2月21日","56.66","56.17","57.31","56.10","335.44K","0.85%"
"2017年2月20日","56.18","55.90","56.42","55.70","209.63K","0.66%"
"2017年2月17日","55.81","55.73","55.88","55.10","270.49K","0.29%"
"2017年2月16日","55.65","55.74","56.24","55.13","310.84K","-0.18%"
"2017年2月15日","55.75","55.82","56.25","55.56","272.52K","-0.39%"
"2017年2月14日","55.97","55.75","56.46","55.53","254.98K","0.68%"
"2017年2月13日","55.59","56.68","56.81","55.41","234.31K","-1.96%"
"2017年2月10日","56.70","55.66","56.88","55.59","284.71K","1.92%"
"2017年2月9日","55.63","55.30","55.92","55.23","263.40K","0.93%"
"2017年2月8日","55.12","54.50","55.68","54.44","409.83K","0.13%"
"2017年2月7日","55.05","55.91","55.98","54.58","317.18K","-1.20%"
"2017年2月6日","55.72","56.85","57.13","55.65","252.70K","-1.92%"
"2017年2月3日","56.81","56.92","57.30","56.39","264.76K","0.44%"
"2017年2月2日","56.56","56.53","57.45","56.33","297.35K","-0.42%"
"2017年2月1日","56.80","55.55","56.83","55.36","301.24K","1.97%"
"2017年1月31日","55.70","55.25","56.00","54.90","28.80K","0.85%"
"2017年1月30日","55.23","55.47","55.70","54.97","104.90K","-0.52%"
"2017年1月27日","55.52","56.09","56.50","54.86","142.07K","-1.28%"
"2017年1月26日","56.24","55.39","56.55","55.21","265.72K","2.11%"
"2017年1月25日","55.08","55.24","55.65","54.75","275.73K","-0.65%"
"2017年1月24日","55.44","55.42","55.87","55.07","254.89K","0.38%"
"2017年1月23日","55.23","55.70","55.75","54.65","305.85K","-0.47%"
"2017年1月20日","55.49","54.33","55.80","54.18","293.54K","2.46%"
"2017年1月19日","54.16","54.29","54.77","53.90","346.87K","0.45%"
"2017年1月18日","53.92","55.48","55.90","53.77","360.15K","-2.79%"
"2017年1月17日","55.47","55.74","56.95","55.40","335.73K","-0.70%"
"2017年1月16日","55.86","55.64","55.92","55.19","112.58K","0.74%"
"2017年1月13日","55.45","56.00","56.21","55.28","247.09K","-1.00%"
"2017年1月12日","56.01","55.19","56.43","55.01","331.63K","1.65%"
"2017年1月11日","55.10","53.80","55.67","53.70","419.90K","2.72%"
"2017年1月10日","53.64","54.95","55.36","53.58","332.98K","-2.37%"
"2017年1月9日","54.94","56.81","57.00","54.74","266.39K","-3.78%"
"2017年1月6日","57.10","56.88","57.47","56.28","234.87K","0.37%"
"2017年1月5日","56.89","56.35","57.35","56.01","269.61K","0.76%"
"2017年1月4日","56.46","55.73","56.55","55.33","282.55K","1.78%"
"2017年1月3日","55.47","57.05","58.37","55.30","340.82K","-2.38%"
"2017年1月2日","56.82","56.82","56.82","56.82","-","0.00%"
"2016年12月30日","56.82","57.00","57.20","56.46","129.10K","1.21%"
"2016年12月29日","56.14","56.01","56.63","55.91","49.08K","-0.14%"
"2016年12月28日","56.22","56.06","56.56","55.89","109.91K","0.23%"
"2016年12月27日","56.09","55.18","57.15","55.04","67.84K","1.69%"
"2016年12月23日","55.16","54.84","55.25","54.26","104.09K","0.20%"
"2016年12月22日","55.05","54.55","55.23","54.05","194.66K","1.08%"
"2016年12月21日","54.46","55.52","55.87","54.32","277.73K","-1.61%"
"2016年12月20日","55.35","55.02","55.92","54.75","257.02K","0.78%"
"2016年12月19日","54.92","55.40","55.80","54.69","228.39K","-0.53%"
"2016年12月16日","55.21","54.11","55.38","53.71","229.19K","2.20%"
"2016年12月15日","54.02","53.76","54.50","53.15","266.15K","0.22%"
"2016年12月14日","53.90","55.16","55.81","53.52","353.97K","-3.27%"
"2016年12月13日","55.72","55.70","56.44","55.13","283.43K","0.05%"
"2016年12月12日","55.69","55.88","57.89","55.11","372.17K","2.50%"
"2016年12月9日","54.33","53.97","54.46","53.77","264.80K","0.82%"
"2016年12月8日","53.89","53.15","54.05","52.81","334.18K","1.68%"
"2016年12月7日","53.00","53.94","54.23","52.92","298.57K","-1.72%"
"2016年12月6日","53.93","54.50","54.94","53.51","280.65K","-1.84%"
"2016年12月5日","54.94","54.40","55.33","53.77","288.55K","0.88%"
"2016年12月2日","54.46","53.88","54.50","52.84","312.78K","0.96%"
"2016年12月1日","53.94","51.72","54.53","51.51","460.86K","6.88%"
"2016年11月30日","50.47","46.54","50.49","46.51","43.12K","8.82%"
"2016年11月29日","46.38","48.07","48.10","45.92","133.11K","-3.86%"
"2016年11月28日","48.24","46.71","48.81","46.28","207.96K","2.12%"
"2016年11月25日","47.24","48.96","49.02","46.85","181.17K","-3.59%"
"2016年11月24日","49.00","49.03","49.21","48.76","71.19K","0.10%"
"2016年11月23日","48.95","49.20","49.50","48.56","275.29K","-0.35%"
"2016年11月22日","49.12","49.25","49.96","48.14","436.93K","0.45%"
"2016年11月21日","48.90","46.92","49.15","46.92","282.70K","4.35%"
"2016年11月18日","46.86","46.05","46.99","45.75","249.34K","0.80%"
"2016年11月17日","46.49","46.44","47.62","45.97","280.94K","-0.30%"
"2016年11月16日","46.63","46.88","47.56","46.25","335.48K","-0.68%"
"2016年11月15日","46.95","44.70","47.25","44.67","354.27K","5.67%"
"2016年11月14日","44.43","44.54","44.99","43.57","260.15K","-0.72%"
"2016年11月11日","44.75","45.80","45.89","44.19","286.71K","-2.38%"
"2016年11月10日","45.84","46.36","46.92","45.56","302.45K","-1.12%"
"2016年11月9日","46.36","46.04","46.95","44.40","448.12K","0.70%"
"2016年11月8日","46.04","46.30","46.69","45.60","320.98K","-0.24%"
"2016年11月7日","46.15","45.70","46.38","45.38","276.17K","1.25%"
"2016年11月4日","45.58","46.43","46.56","45.08","384.56K","-1.66%"
"2016年11月3日","46.35","47.15","47.52","45.99","283.66K","-1.09%"
"2016年11月2日","46.86","47.90","48.02","46.46","366.82K","-2.66%"
"2016年11月1日","48.14","48.72","49.26","47.72","462.80K","-0.33%"
"2016年10月31日","48.30","49.41","49.72","47.98","32.21K","-2.84%"
"2016年10月28日","49.71","50.41","50.58","49.31","94.84K","-1.51%"
"2016年10月27日","50.47","50.05","50.90","49.83","138.09K","0.98%"
"2016年10月26日","49.98","50.26","50.69","49.65","304.52K","-1.59%"
"2016年10月25日","50.79","51.44","51.83","50.22","237.73K","-1.30%"
"2016年10月24日","51.46","51.89","52.01","50.50","277.24K","-0.62%"
"2016年10月21日","51.78","51.40","51.94","51.12","249.16K","0.78%"
"2016年10月20日","51.38","52.60","52.72","51.17","279.31K","-2.45%"
"2016年10月19日","52.67","52.13","53.14","52.09","292.95K","1.92%"
"2016年10月18日","51.68","51.72","52.15","51.25","274.17K","0.31%"
"2016年10月17日","51.52","51.93","52.29","51.16","247.03K","-0.83%"
"2016年10月14日","51.95","52.06","52.55","51.50","248.44K","-0.15%"
"2016年10月13日","52.03","51.60","52.15","50.92","310.65K","0.42%"
"2016年10月12日","51.81","52.48","52.87","51.61","254.73K","-1.14%"
"2016年10月11日","52.41","53.11","53.32","52.12","373.85K","-1.37%"
"2016年10月10日","53.14","51.63","53.73","51.30","334.27K","2.33%"
"2016年10月7日","51.93","52.72","52.84","51.33","310.02K","-1.10%"
"2016年10月6日","52.51","51.76","52.75","51.32","293.87K","1.25%"
"2016年10月5日","51.86","51.22","52.09","51.22","302.09K","1.95%"
"2016年10月4日","50.87","50.93","51.55","50.34","269.27K","-0.04%"
"2016年10月3日","50.89","50.02","51.14","49.74","284.26K","3.73%"
"2016年9月30日","49.06","49.18","49.25","48.21","26.94K","-0.37%"
"2016年9月29日","49.24","48.87","49.81","47.99","114.83K","1.13%"
"2016年9月28日","48.69","46.14","48.96","45.70","188.67K","5.92%"
"2016年9月27日","45.97","47.06","47.28","45.63","241.18K","-2.91%"
"2016年9月26日","47.35","46.05","47.66","45.74","208.15K","3.18%"
"2016年9月23日","45.89","47.42","48.26","45.65","306.86K","-3.69%"
"2016年9月22日","47.65","46.99","47.83","46.99","290.33K","1.75%"
"2016年9月21日","46.83","46.45","47.14","46.38","249.08K","2.07%"
"2016年9月20日","45.88","45.91","46.30","45.09","298.80K","-0.15%"
"2016年9月19日","45.95","46.01","46.93","45.85","209.91K","0.39%"
"2016年9月16日","45.77","46.31","46.41","45.48","226.32K","-1.76%"
"2016年9月15日","46.59","46.06","47.00","45.67","320.72K","1.61%"
"2016年9月14日","45.85","47.33","47.48","45.70","332.96K","-2.65%"
"2016年9月13日","47.10","48.17","48.22","46.96","280.02K","-2.52%"
"2016年9月12日","48.32","47.81","48.63","46.90","258.76K","0.65%"
"2016年9月9日","48.01","49.63","49.70","47.76","262.15K","-3.96%"
"2016年9月8日","49.99","48.55","50.14","48.21","327.24K","4.19%"
"2016年9月7日","47.98","47.20","48.56","46.97","224.23K","1.52%"
"2016年9月6日","47.26","47.43","47.99","46.29","215.06K","-0.78%"
"2016年9月5日","47.63","46.70","49.40","46.40","287.95K","1.71%"
"2016年9月2日","46.83","45.79","47.02","45.41","279.34K","3.04%"
"2016年9月1日","45.45","46.98","47.24","45.32","290.04K","-3.38%"
"2016年8月31日","47.04","48.29","48.42","46.96","20.61K","-2.75%"
"2016年8月30日","48.37","49.25","49.76","48.23","124.52K","-1.81%"
"2016年8月29日","49.26","49.54","49.60","48.97","65.67K","-1.32%"
"2016年8月26日","49.92","49.66","50.76","49.12","209.62K","0.50%"
"2016年8月25日","49.67","49.03","49.78","48.70","217.13K","1.26%"
"2016年8月24日","49.05","49.57","49.87","48.68","280.92K","-1.82%"
"2016年8月23日","49.96","49.04","50.21","48.48","314.18K","1.63%"
"2016年8月22日","49.16","50.70","50.70","49.07","270.37K","-3.38%"
"2016年8月19日","50.88","50.96","51.22","50.32","252.34K","-0.02%"
"2016年8月18日","50.89","49.76","51.05","49.52","268.83K","2.09%"
"2016年8月17日","49.85","48.88","49.93","48.55","377.40K","1.26%"
"2016年8月16日","49.23","48.22","49.36","47.90","331.86K","1.82%"
"2016年8月15日","48.35","47.14","48.54","46.84","234.40K","2.94%"
"2016年8月12日","46.97","46.18","47.25","45.74","258.00K","2.02%"
"2016年8月11日","46.04","43.78","46.30","43.46","335.53K","4.52%"
"2016年8月10日","44.05","44.92","45.68","43.81","284.86K","-2.07%"
"2016年8月9日","44.98","45.25","45.77","44.76","216.22K","-0.90%"
"2016年8月8日","45.39","44.34","45.71","44.24","221.51K","2.53%"
"2016年8月5日","44.27","44.18","44.49","43.51","236.87K","-0.05%"
"2016年8月4日","44.29","43.36","44.34","42.51","276.42K","2.76%"
"2016年8月3日","43.10","41.94","43.47","41.56","320.44K","3.11%"
"2016年8月2日","41.80","42.23","43.18","41.51","262.56K","-0.81%"
"2016年8月1日","42.14","43.11","43.85","41.87","234.77K","-0.75%"
"2016年7月29日","42.46","42.61","42.83","41.80","21.54K","-0.56%"
"2016年7月28日","42.70","43.53","43.72","42.56","110.09K","-1.77%"
"2016年7月27日","43.47","44.55","44.91","43.27","194.57K","-3.12%"
"2016年7月26日","44.87","44.82","44.96","44.14","240.33K","0.34%"
"2016年7月25日","44.72","45.70","45.87","44.55","188.81K","-2.12%"
"2016年7月22日","45.69","46.21","46.50","45.17","243.49K","-1.10%"
"2016年7月21日","46.20","47.17","47.56","46.05","237.48K","-2.06%"
"2016年7月20日","47.17","46.76","47.49","45.90","296.30K","1.09%"
"2016年7月19日","46.66","46.93","47.49","46.53","214.36K","-0.64%"
"2016年7月18日","46.96","47.92","47.95","46.50","230.50K","-1.37%"
"2016年7月15日","47.61","47.03","48.25","46.65","260.43K","0.51%"
"2016年7月14日","47.37","46.59","47.47","46.34","289.40K","2.40%"
"2016年7月13日","46.26","48.13","48.20","46.09","299.80K","-4.56%"
"2016年7月12日","48.47","46.17","48.57","46.09","321.53K","4.80%"
"2016年7月11日","46.25","46.49","47.10","45.90","229.28K","-1.09%"
"2016年7月8日","46.76","46.60","47.23","46.15","237.28K","0.78%"
"2016年7月7日","46.40","49.12","49.59","46.15","328.10K","-4.92%"
"2016年7月6日","48.80","48.06","49.31","47.17","279.12K","1.75%"
"2016年7月5日","47.96","50.03","50.05","47.54","305.74K","-4.27%"
"2016年7月4日","50.10","50.60","50.75","50.03","113.45K","-0.50%"
"2016年7月1日","50.35","49.90","50.66","49.25","248.69K","1.35%"
"2016年6月30日","49.68","50.21","50.28","49.47","25.41K","-1.84%"
"2016年6月29日","50.61","48.84","50.74","48.62","112.96K","4.18%"
"2016年6月28日","48.58","47.61","48.79","47.47","173.18K","3.01%"
"2016年6月27日","47.16","48.43","48.90","46.69","243.26K","-2.58%"
"2016年6月24日","48.41","50.69","50.74","47.54","351.74K","-4.91%"
"2016年6月23日","50.91","50.14","51.18","49.89","246.95K","2.06%"
"2016年6月22日","49.88","51.06","51.24","49.18","282.72K","-1.46%"
"2016年6月21日","50.62","50.43","51.10","49.46","256.95K","-0.06%"
"2016年6月20日","50.65","49.42","50.68","49.24","244.41K","3.01%"
"2016年6月17日","49.17","47.28","49.40","47.25","222.73K","4.20%"
"2016年6月16日","47.19","48.56","48.77","46.94","287.30K","-3.63%"
"2016年6月15日","48.97","49.22","49.80","48.39","298.84K","-1.73%"
"2016年6月14日","49.83","49.89","50.05","49.20","224.01K","-1.03%"
"2016年6月13日","50.35","50.42","50.79","49.61","208.81K","-0.38%"
"2016年6月10日","50.54","51.91","52.10","50.33","210.06K","-2.71%"
"2016年6月9日","51.95","52.74","52.86","51.53","213.12K","-1.07%"
"2016年6月8日","52.51","51.41","52.80","51.32","260.75K","2.08%"
"2016年6月7日","51.44","50.46","51.54","50.28","208.82K","1.76%"
"2016年6月6日","50.55","49.83","50.83","49.72","223.76K","1.83%"
"2016年6月3日","49.64","49.95","50.33","49.30","227.82K","-0.80%"
"2016年6月2日","50.04","49.63","50.30","48.84","270.12K","0.64%"
"2016年6月1日","49.72","49.65","50.00","48.65","266.00K","0.06%"
"2016年5月31日","49.69","49.70","50.05","49.23","28.69K","-0.14%"
"2016年5月30日","49.76","49.43","49.83","48.92","23.09K","0.89%"
"2016年5月27日","49.32","49.42","49.55","48.69","130.18K","-0.54%"
"2016年5月26日","49.59","49.76","50.51","49.25","221.26K","-0.30%"
"2016年5月25日","49.74","49.16","49.96","48.91","237.79K","2.32%"
"2016年5月24日","48.61","48.35","49.24","47.80","211.58K","0.54%"
"2016年5月23日","48.35","48.72","48.84","47.58","225.09K","-0.76%"
"2016年5月20日","48.72","48.90","49.39","48.07","255.58K","-0.18%"
"2016年5月19日","48.81","48.67","48.88","47.38","302.10K","-0.25%"
"2016年5月18日","48.93","49.36","49.85","48.45","319.81K","-0.71%"
"2016年5月17日","49.28","49.03","49.75","48.57","262.32K","0.63%"
"2016年5月16日","48.97","47.80","49.47","47.77","294.38K","2.38%"
"2016年5月13日","47.83","47.85","48.12","47.26","239.05K","-0.52%"
"2016年5月12日","48.08","47.32","48.19","46.80","353.85K","1.01%"
"2016年5月11日","47.60","45.59","47.75","44.80","381.74K","4.57%"
"2016年5月10日","45.52","43.49","45.70","43.33","343.21K","4.33%"
"2016年5月9日","43.63","45.75","46.48","43.43","364.58K","-3.84%"
"2016年5月6日","45.37","45.16","46.12","44.19","283.65K","0.80%"
"2016年5月5日","45.01","45.08","46.77","44.65","280.79K","0.87%"
"2016年5月4日","44.62","45.21","46.01","44.19","293.82K","-0.78%"
"2016年5月3日","44.97","45.80","46.40","44.62","276.40K","-1.88%"
"2016年5月2日","45.83","47.37","47.40","45.72","168.09K","-4.78%"
"2016年4月29日","48.13","47.90","48.50","47.41","29.52K","-0.02%"
"2016年4月28日","48.14","47.10","48.19","46.74","113.08K","2.03%"
"2016年4月27日","47.18","46.26","47.45","45.63","150.79K","3.15%"
"2016年4月26日","45.74","44.69","46.49","44.36","199.24K","2.83%"
"2016年4月25日","44.48","45.13","45.59","44.26","211.68K","-1.40%"
"2016年4月22日","45.11","44.75","45.90","44.30","272.85K","1.30%"
"2016年4月21日","44.53","45.54","46.18","44.44","312.60K","-2.77%"
"2016年4月20日","45.80","43.52","45.88","42.81","297.26K","4.02%"
"2016年4月19日","44.03","43.14","44.50","42.60","355.95K","2.61%"
"2016年4月18日","42.91","41.80","43.43","40.10","383.37K","-0.44%"
"2016年4月15日","43.10","43.80","44.05","42.28","285.17K","-1.69%"
"2016年4月14日","43.84","44.01","44.62","43.29","234.37K","-0.77%"
"2016年4月13日","44.18","44.44","44.94","43.76","348.59K","-1.14%"
"2016年4月12日","44.69","42.70","44.81","42.56","357.35K","4.34%"
"2016年4月11日","42.83","42.00","43.06","41.41","279.92K","2.12%"
"2016年4月8日","41.94","39.68","42.01","39.62","340.22K","6.37%"
"2016年4月7日","39.43","39.90","40.29","38.70","308.72K","-1.03%"
"2016年4月6日","39.84","38.40","39.94","38.34","323.37K","5.20%"
"2016年4月5日","37.87","37.50","38.44","37.27","296.45K","0.48%"
"2016年4月4日","37.69","38.69","38.92","37.50","286.65K","-2.53%"
"2016年4月1日","38.67","40.14","40.43","38.55","286.17K","-2.35%"
"2016年3月31日","39.60","39.12","40.00","38.74","27.80K","0.87%"
"2016年3月30日","39.26","39.42","40.61","39.09","103.12K","0.31%"
"2016年3月29日","39.14","40.19","40.25","38.76","149.53K","-2.81%"
"2016年3月28日","40.27","40.58","41.00","39.64","78.63K","-0.42%"
"2016年3月24日","40.44","40.40","40.64","39.22","203.28K","-0.07%"
"2016年3月23日","40.47","41.56","41.82","40.42","240.91K","-3.16%"
"2016年3月22日","41.79","41.47","42.08","40.97","268.21K","0.60%"
"2016年3月21日","41.54","41.31","41.88","40.48","234.10K","0.83%"
"2016年3月18日","41.20","41.38","42.54","41.07","286.65K","-0.82%"
"2016年3月17日","41.54","40.45","41.60","40.41","249.23K","3.00%"
"2016年3月16日","40.33","39.14","40.44","38.83","263.87K","4.10%"
"2016年3月15日","38.74","39.67","39.74","38.32","224.36K","-2.00%"
"2016年3月14日","39.53","40.25","40.65","38.82","264.71K","-2.13%"
"2016年3月11日","40.39","40.33","41.03","40.02","276.65K","0.85%"
"2016年3月10日","40.05","40.89","41.01","39.63","287.78K","-2.48%"
"2016年3月9日","41.07","39.65","41.18","39.39","333.49K","3.58%"
"2016年3月8日","39.65","40.71","41.48","39.31","352.25K","-2.91%"